State Code,Level,Name,TRU,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
00,India,India,Total,249454252,1210569573,623121843,587447730,164478150,85732470,78745680,201378086,104281034,763498517,434683779,328814738,447071056,188438064,258632992,481743311,331865930,149877381,362446420,273149359,89297061,95841357,73018105,22823252,86166871,55254927,30911944,12331464,7540121,4791343,168106728,137336206,30770522,119296891,58716571,60580320,97044107,48579387,48464720,22252784,10137184,12115600,728826262,291255913,437570349
00,India,India,Rural,168565486,833463448,427632643,405830805,121285762,63064665,58221097,153850562,93819162,482653540,281281531,201372009,350809908,146351112,204458796,348597535,226763068,121834467,245749270,178034713,67714557,92737696,70469851,22267845,80958300,51639066,29319234,7244556,4170353,3074203,64808718,51755443,13053275,102848265,48728355,54119910,83031670,40034385,42997285,19816595,8693970,11122625,484865913,200869575,283996338
00,India,India,Urban,80888766,377106125,195489200,181616925,43192388,22667805,20524583,47527524,10461872,280844977,153402248,127442729,96261148,42086952,54174196,133145776,105102862,28042914,116697150,95114646,21582504,3103661,2548254,555407,5208571,3615861,1592710,5086908,3369768,1717140,103298010,85580763,17717247,16448626,9988216,6460410,14012437,8545002,5467435,2436189,1443214,992975,243960349,90386338,153574011
01,STATE,JAMMU & KASHMIR,Total,2119718,12541302,6640662,5900640,2018905,1084355,934550,924991,1493299,7067233,4264671,2802562,5474069,2375991,3098078,4322713,3195090,1127623,2644149,2305788,338361,566469,486417,80052,159519,143071,16448,78826,58514,20312,1839335,1617786,221549,1678564,889302,789262,1201567,675679,525888,476997,213623,263374,8218589,3445572,4773017
01,STATE,JAMMU & KASHMIR,Rural,1553433,9108060,4774477,4333583,1593008,854141,738867,751026,1406833,4747950,2891749,1856201,4360110,1882728,2477382,3113081,2212006,901075,1669814,1453157,216657,541316,464699,76617,141304,126405,14899,57248,41833,15415,929946,820220,109726,1443267,758849,684418,1013949,566924,447025,429318,191925,237393,5994979,2562471,3432508
01,STATE,JAMMU & KASHMIR,Urban,566285,3433242,1866185,1567057,425897,230214,195683,173965,86466,2319283,1372922,946361,1113959,493263,620696,1209632,983084,226548,974335,852631,121704,25153,21718,3435,18215,16666,1549,21578,16681,4897,909389,797566,111823,235297,130453,104844,187618,108755,78863,47679,21698,25981,2223610,883101,1340509
02,STATE,HIMACHAL PRADESH,Total,1483280,6864602,3481873,3382729,777898,407459,370439,1729252,392126,5039736,2752590,2287146,1824866,729283,1095583,3559422,2043373,1516049,2062501,1438989,623512,919786,514927,404859,68668,46235,22433,32691,24576,8115,1041356,853251,188105,1496921,604384,892537,1025060,417179,607881,471861,187205,284656,3305180,1438500,1866680
02,STATE,HIMACHAL PRADESH,Rural,1312510,6176050,3110345,3065705,712822,372854,339968,1606535,374392,4471736,2437821,2033915,1704314,672524,1031790,3289384,1836358,1453026,1822109,1247874,574235,914201,510886,403315,66318,44463,21855,27502,20466,7036,814088,672059,142029,1467275,588484,878791,1001552,404162,597390,465723,184322,281401,2886666,1273987,1612679
02,STATE,HIMACHAL PRADESH,Urban,170770,688552,371528,317024,65076,34605,30471,122717,17734,568000,314769,253231,120552,56759,63793,270038,207015,63023,240392,191115,49277,5585,4041,1544,2350,1772,578,5189,4110,1079,227268,181192,46076,29646,15900,13746,23508,13017,10491,6138,2883,3255,418514,164513,254001
03,STATE,PUNJAB,Total,5513071,27743338,14639465,13103873,3076219,1665994,1410225,8860179,0,18707137,10436056,8271081,9036201,4203409,4832792,9897362,8074157,1823205,8450936,7264631,1186305,1803860,1691777,112083,1168021,1013979,154042,300660,215971,84689,5178395,4342904,835491,1446426,809526,636900,1150415,661526,488889,296011,148000,148011,17845976,6565308,11280668
